goos: windows
goarch: amd64
pkg: github.com/sadirano/onix/internal/resolver
cpu: 11th Gen Intel(R) Core(TM) i5-11600K @ 3.90GHz
BenchmarkResolve_Segmented_Template-12    	   10000	    113788 ns/op	    6916 B/op	      59 allocs/op
BenchmarkResolve_Segmented_Template-12    	   10000	    112552 ns/op	    6915 B/op	      59 allocs/op
BenchmarkResolve_Segmented_Template-12    	   10000	    112233 ns/op	    6915 B/op	      59 allocs/op
BenchmarkResolve_Segmented_Template-12    	   10000	    112259 ns/op	    6915 B/op	      59 allocs/op
BenchmarkResolve_Segmented_Template-12    	   10000	    112118 ns/op	    6915 B/op	      59 allocs/op
BenchmarkResolve_Segmented_Template-12    	   10000	    111934 ns/op	    6915 B/op	      59 allocs/op
BenchmarkResolve_Segmented_Template-12    	   10000	    111983 ns/op	    6915 B/op	      59 allocs/op
BenchmarkResolve_Segmented_Template-12    	   10000	    113837 ns/op	    6915 B/op	      59 allocs/op
BenchmarkResolve_Segmented_Template-12    	    9555	    111622 ns/op	    6915 B/op	      59 allocs/op
BenchmarkResolve_Segmented_Template-12    	   10000	    112193 ns/op	    6915 B/op	      59 allocs/op
BenchmarkResolve_Segmented_Multi-12       	    3268	    380236 ns/op	   23693 B/op	     212 allocs/op
BenchmarkResolve_Segmented_Multi-12       	    3271	    379662 ns/op	   24413 B/op	     215 allocs/op
BenchmarkResolve_Segmented_Multi-12       	    3133	    384721 ns/op	   24413 B/op	     215 allocs/op
BenchmarkResolve_Segmented_Multi-12       	    3171	    383602 ns/op	   24413 B/op	     215 allocs/op
BenchmarkResolve_Segmented_Multi-12       	    3103	    380989 ns/op	   24414 B/op	     215 allocs/op
BenchmarkResolve_Segmented_Multi-12       	    3214	    381025 ns/op	   24413 B/op	     215 allocs/op
BenchmarkResolve_Segmented_Multi-12       	    3312	    376079 ns/op	   24414 B/op	     215 allocs/op
BenchmarkResolve_Segmented_Multi-12       	    3154	    376230 ns/op	   24414 B/op	     215 allocs/op
BenchmarkResolve_Segmented_Multi-12       	    3373	    378997 ns/op	   24414 B/op	     215 allocs/op
BenchmarkResolve_Segmented_Multi-12       	    2770	    376244 ns/op	   23741 B/op	     212 allocs/op
PASS
ok  	github.com/sadirano/onix/internal/resolver	24.889s
